,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag
0,Kairos - LS23,3,1.0,10/24/22,16:46:16,1,0,,,nan,3.53,clear
1,Kairos - LS23,3,2.0,10/24/22,16:49:22,1,0,,,nan,3.18,clear
2,Kairos - LS23,3,3.0,10/24/22,16:52:33,0,,,,nan,3.34,KA-1
3,Kairos - LS23,3,4.0,10/24/22,16:55:42,1,15.81560423,,,nan,4.11,clear
4,Kairos - LS23,3,5.0,10/24/22,16:59:02,1,23.79773425,,,nan,3.49,clear
5,Kairos - LS23,3,6.0,10/24/22,17:02:04,1,124.4332704,,,nan,4.65,clear
6,Kairos - LS23,3,7.0,10/24/22,17:05:21,1,394.6762265,,,nan,6.85,clear
7,Kairos - LS23,3,8.0,10/24/22,17:08:22,1,110.5615942,,,nan,3.73,clear
8,Kairos - LS23,3,9.0,10/24/22,17:11:38,1,0,,,nan,4.24,clear
9,Kairos - LS23,3,10.0,10/24/22,17:14:38,1,0,,,nan,2.78,clear
10,Kairos - LS23,3,11.0,10/24/22,17:17:54,1,0,,,nan,3.72,clear
11,Kairos - LS23,3,12.0,10/24/22,17:20:59,1,13.16771798,,,nan,4.67,clear
12,Kairos - LS23,3,13.0,10/24/22,17:24:13,1,13.60206495,,,nan,2.97,clear
13,Kairos - LS23,3,14.0,10/24/22,17:27:12,1,0,,,nan,4.45,clear
14,Kairos - LS23,3,15.0,10/24/22,17:30:28,0,,,,nan,3.86,KA-2
15,Kairos - LS23,3,16.0,10/24/22,17:33:39,1,0,,,nan,2.53,clear
16,Kairos - LS23,3,17.0,10/24/22,17:36:53,1,0,,,nan,5.77,clear
17,Kairos - LS23,3,18.0,10/24/22,17:40:00,1,29.21784122,,,nan,3.5,clear
18,Kairos - LS23,3,19.0,10/24/22,17:43:18,1,36.34659146,,,nan,2.39,clear
19,Kairos - LS23,3,20.0,10/24/22,17:46:21,1,30.7349606,,,nan,4.84,clear
20,Kairos - LS23,3,21.0,10/24/22,17:49:37,1,182.8753971,,,nan,4.34,clear
21,Kairos - LS23,3,22.0,10/24/22,17:52:40,1,142.7276753,,,nan,2.35,clear
22,Kairos - LS23,3,23.0,10/24/22,17:57:59,1,119.6527427,,,nan,2.93,clear
23,Kairos - LS23,3,24.0,10/24/22,18:01:12,1,69.94875209,,,nan,3.56,clear
24,Kairos - LS23,3,25.0,10/24/22,18:04:31,1,43.52051094,,,nan,2.02,clear
25,Kairos - LS23,3,26.0,10/24/22,18:07:34,1,91.70437936,,,nan,1.62,clear
26,Kairos - LS23,3,27.0,10/24/22,18:10:51,1,0,,,nan,3.97,clear
27,Kairos - LS23,3,28.0,10/24/22,18:13:54,0,,,,nan,5.49,KA-3
28,Kairos - LS23,3,29.0,10/24/22,18:17:18,0,,,,nan,4.12,KA-4
29,Kairos - LS23,3,30.0,10/24/22,18:20:26,0,,,,nan,2.55,KA-4
30,Kairos - LS23,3,31.0,10/24/22,18:23:39,0,,,,nan,5.59,KA-3
31,Kairos - LS23,3,32.0,10/24/22,18:26:41,1,388.9923983,,,nan,2.83,clear
32,Kairos - LS23,3,33.0,10/24/22,18:29:54,1,430.5101513,,,nan,3.81,clear
33,Kairos - LS23,3,34.0,10/24/22,18:33:04,0,,,,nan,1.81,KA-4
34,Kairos - LS23,3,35.0,10/24/22,18:39:07,1,143.7144313,,,nan,3.18,clear
35,Kairos - LS23,3,36.0,10/24/22,18:42:16,1,152.2521692,,,nan,3.49,clear
36,Kairos - LS23,3,37.0,10/24/22,18:45:34,1,173.630688,,,nan,4.38,clear
37,Kairos - LS23,3,38.0,10/24/22,18:48:36,1,28.4233609,,,nan,4.77,clear
38,Kairos - LS23,3,39.0,10/24/22,18:51:57,1,34.8106983,,,nan,2.5,clear
39,Kairos - LS23,3,40.0,10/24/22,18:55:01,0,,,,nan,5.57,KA-4
40,Kairos - LS23,3,41.0,10/24/22,18:58:14,1,6.361437848,,,nan,4.33,clear
41,Kairos - LS23,3,42.0,10/24/22,19:01:19,1,0,,,nan,3.4,clear
42,Kairos - LS23,3,43.0,10/24/22,19:04:28,1,10.83128118,,,nan,2.36,clear
43,Kairos - LS23,3,44.0,10/24/22,19:07:37,1,0,,,nan,3.33,clear
44,Kairos - LS23,3,45.0,10/24/22,19:11:02,1,0,,,nan,3.11,clear
45,Kairos - LS23,3,46.0,10/24/22,19:14:06,1,15.24848371,,,nan,4.74,clear
46,Kairos - LS23,3,47.0,10/24/22,19:17:24,1,11.8295958,,,nan,2.19,clear
47,Kairos - LS23,3,48.0,10/24/22,19:20:30,1,42.2144915,,,nan,3.18,clear
48,Kairos - LS23,3,49.0,10/24/22,19:23:45,1,11.41173694,,,nan,3.89,clear
49,Kairos - LS23,3,50.0,10/24/22,19:26:51,1,7.883634329,,,nan,5.98,clear
50,Kairos - LS23,3,51.0,10/24/22,19:30:05,1,20.67990884,,,nan,4.16,clear
51,Kairos - LS23,3,52.0,10/24/22,19:33:08,1,17.50982193,,,nan,3.87,clear
52,Kairos - LS23,3,53.0,10/24/22,19:36:20,1,23.56542507,,,nan,4.46,clear
53,Kairos - LS23,3,54.0,10/24/22,19:39:22,1,0,,,nan,3.91,clear
54,Kairos - LS23,3,55.0,10/24/22,19:42:34,1,7.4440669,,,nan,2.07,clear
55,Kairos - LS23,3,56.0,10/24/22,19:45:37,1,0,,,nan,2.64,clear
56,Kairos - LS23,3,57.0,10/24/22,19:48:46,1,0,,,nan,4.12,clear
57,Kairos - LS23,3,58.0,10/25/22,16:35:28,1,10.56931053,,,nan,0.65,clear
58,Kairos - LS23,3,59.0,10/25/22,16:38:31,1,18.98551596,,,nan,1.06,clear
59,Kairos - LS23,3,60.0,10/25/22,16:41:46,1,14.94614965,,,nan,0.51,clear
60,Kairos - LS23,3,61.0,10/25/22,16:44:54,0,,,,nan,0.66,KA-4
61,Kairos - LS23,3,62.0,10/25/22,16:48:06,0,,,,nan,0.75,KA-4
62,Kairos - LS23,3,63.0,10/25/22,16:51:13,1,2.380895537,,,nan,0.65,clear
63,Kairos - LS23,3,64.0,10/25/22,16:54:29,1,2.255520174,,,nan,0.95,clear
64,Kairos - LS23,3,65.0,10/25/22,16:57:35,1,2.278170253,,,nan,0.42,clear
65,Kairos - LS23,3,66.0,10/25/22,17:00:52,1,0,,,nan,1.31,clear
66,Kairos - LS23,3,67.0,10/25/22,17:04:00,1,8.317476242,,,nan,1.08,clear
67,Kairos - LS23,3,68.0,10/25/22,17:07:16,1,7.776936852,,,nan,1.13,clear
68,Kairos - LS23,3,69.0,10/25/22,17:10:31,0,,,,nan,1.77,KA-4
69,Kairos - LS23,3,70.0,10/25/22,17:13:51,0,,,,nan,0.52,KA-4
70,Kairos - LS23,3,71.0,10/25/22,17:16:59,0,,,,nan,0.98,KA-4
71,Kairos - LS23,3,72.0,10/25/22,17:20:12,1,14.66725797,,,nan,1.1,clear
72,Kairos - LS23,3,73.0,10/25/22,17:23:22,1,16.70227466,,,nan,1.89,clear
73,Kairos - LS23,3,74.0,10/25/22,17:26:36,1,126.2747843,,,nan,2.44,clear
74,Kairos - LS23,3,75.0,10/25/22,17:29:47,1,109.8384948,,,nan,2.56,clear
75,Kairos - LS23,3,76.0,10/25/22,17:32:56,1,98.60194007,,,nan,1.46,clear
76,Kairos - LS23,3,77.0,10/25/22,17:36:04,0,,,,nan,1.44,KA-4
77,Kairos - LS23,3,78.0,10/25/22,17:39:20,0,,,,nan,1.17,KA-4
78,Kairos - LS23,3,79.0,10/25/22,17:42:26,0,,,,nan,0.75,KA-4
79,Kairos - LS23,3,80.0,10/25/22,17:45:43,0,,,,nan,1.12,KA-4
80,Kairos - LS23,3,81.0,10/25/22,17:48:48,0,,,,nan,1.14,KA-4
81,Kairos - LS23,3,82.0,10/25/22,17:52:10,0,,,,nan,0.51,KA-4
82,Kairos - LS23,3,83.0,10/25/22,17:55:18,0,,,,nan,1.57,KA-4
83,Kairos - LS23,3,84.0,10/25/22,17:58:33,0,,,,nan,1.35,KA-4
84,Kairos - LS23,3,85.0,10/25/22,18:01:38,0,,,,nan,0.42,KA-4
85,Kairos - LS23,3,86.0,10/25/22,18:04:54,0,,,,nan,0.64,KA-4
86,Kairos - LS23,3,87.0,10/25/22,18:08:04,0,,,,nan,1.51,KA-4
87,Kairos - LS23,3,88.0,10/25/22,18:11:22,0,,,,nan,0.27,KA-4
88,Kairos - LS23,3,89.0,10/25/22,18:14:25,0,,,,nan,1.53,KA-4
