,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag
0,Kairos - LS23,1,1.0,10/24/22,16:46:16,False,True,0,,,nan,,clear
1,Kairos - LS23,1,2.0,10/24/22,16:49:22,False,True,0,,,nan,,clear
2,Kairos - LS23,1,3.0,10/24/22,16:52:33,True,True,25.85856,,,nan,4.3,clear
3,Kairos - LS23,1,4.0,10/24/22,16:55:42,True,True,22.51968,,,nan,4.25,clear
4,Kairos - LS23,1,5.0,10/24/22,16:59:02,True,True,23.43744,,,nan,4.2,clear
5,Kairos - LS23,1,6.0,10/24/22,17:02:04,True,True,114.18112,,,nan,4.15,clear
6,Kairos - LS23,1,7.0,10/24/22,17:05:21,True,True,256.99296,,,nan,4.09,clear
7,Kairos - LS23,1,8.0,10/24/22,17:08:22,True,True,80.41984,,,nan,4.04,clear
8,Kairos - LS23,1,9.0,10/24/22,17:11:38,False,True,0,,,nan,,clear
9,Kairos - LS23,1,10.0,10/24/22,17:14:39,False,True,0,,,nan,,clear
10,Kairos - LS23,1,11.0,10/24/22,17:17:54,False,True,0,,,nan,,clear
11,Kairos - LS23,1,12.0,10/24/22,17:21:00,True,True,10.07584,,,nan,3.8,clear
12,Kairos - LS23,1,13.0,10/24/22,17:24:13,True,True,20.58128,,,nan,3.75,clear
13,Kairos - LS23,1,14.0,10/24/22,17:27:12,False,True,0,,,nan,,clear
14,Kairos - LS23,1,15.0,10/24/22,17:30:28,discard,False,,,,nan,,KA-2
15,Kairos - LS23,1,16.0,10/24/22,17:33:39,True,True,9.14056,,,nan,3.57,clear
16,Kairos - LS23,1,17.0,10/24/22,17:36:53,False,True,0,,,nan,,clear
17,Kairos - LS23,1,18.0,10/24/22,17:40:00,True,True,29.16432,,,nan,3.46,clear
18,Kairos - LS23,1,19.0,10/24/22,17:43:18,True,True,39.07536,,,nan,3.41,clear
19,Kairos - LS23,1,20.0,10/24/22,17:46:21,True,True,23.64288,,,nan,3.36,clear
20,Kairos - LS23,1,21.0,10/24/22,17:49:37,True,True,155.66928,,,nan,3.31,clear
21,Kairos - LS23,1,22.0,10/24/22,17:52:40,True,True,222.17664,,,nan,3.27,clear
22,Kairos - LS23,1,23.0,10/24/22,17:57:59,True,True,202.07392,,,nan,3.21,clear
23,Kairos - LS23,1,24.0,10/24/22,18:01:12,True,True,64.16064,,,nan,3.18,clear
24,Kairos - LS23,1,25.0,10/24/22,18:04:31,True,True,72.756,,,nan,3.15,clear
25,Kairos - LS23,1,26.0,10/24/22,18:07:34,True,True,173.712,,,nan,3.13,clear
26,Kairos - LS23,1,27.0,10/24/22,18:10:51,False,True,0,,,nan,,clear
27,Kairos - LS23,1,28.0,10/24/22,18:13:54,discard,False,,,,nan,3.08,KA-3
28,Kairos - LS23,1,29.0,10/24/22,18:17:19,discard,False,,,,nan,,KA-4
29,Kairos - LS23,1,30.0,10/24/22,18:20:26,discard,False,,,,nan,,KA-4
30,Kairos - LS23,1,31.0,10/24/22,18:23:39,discard,False,,,,nan,3.04,KA-3
31,Kairos - LS23,1,32.0,10/24/22,18:26:41,True,True,464.6848,,,nan,3.04,clear
32,Kairos - LS23,1,33.0,10/24/22,18:29:53,True,True,398.77248,,,nan,3.03,clear
33,Kairos - LS23,1,34.0,10/24/22,18:33:04,discard,False,,,,nan,,KA-4
34,Kairos - LS23,1,35.0,10/24/22,18:39:07,True,True,157.58912,,,nan,3.02,clear
35,Kairos - LS23,1,36.0,10/24/22,18:42:16,True,True,150.8832,,,nan,3.02,clear
36,Kairos - LS23,1,37.0,10/24/22,18:45:34,True,True,125.81368,,,nan,3.03,clear
37,Kairos - LS23,1,38.0,10/24/22,18:48:36,True,True,23.97408,,,nan,3.03,clear
38,Kairos - LS23,1,39.0,10/24/22,18:51:57,True,True,47.36704,,,nan,3.04,clear
39,Kairos - LS23,1,40.0,10/24/22,18:55:01,discard,False,,,,nan,,KA-4
40,Kairos - LS23,1,41.0,10/24/22,18:58:14,True,True,6.31968,,,nan,3.04,clear
41,Kairos - LS23,1,42.0,10/24/22,19:01:18,True,True,5.79184,,,nan,3.05,clear
42,Kairos - LS23,1,43.0,10/24/22,19:04:28,True,True,18.00064,,,nan,3.07,clear
43,Kairos - LS23,1,44.0,10/24/22,19:07:37,False,True,0,,,nan,,clear
44,Kairos - LS23,1,45.0,10/24/22,19:11:02,False,True,0,,,nan,,clear
45,Kairos - LS23,1,46.0,10/24/22,19:14:06,True,True,8.87856,,,nan,3.12,clear
46,Kairos - LS23,1,47.0,10/24/22,19:17:24,True,True,19.09248,,,nan,3.15,clear
47,Kairos - LS23,1,48.0,10/24/22,19:20:30,True,True,37.4312,,,nan,3.17,clear
48,Kairos - LS23,1,49.0,10/24/22,19:23:45,True,True,10.582,,,nan,3.2,clear
49,Kairos - LS23,1,50.0,10/24/22,19:26:51,True,True,6.18032,,,nan,3.23,clear
50,Kairos - LS23,1,51.0,10/24/22,19:30:05,True,True,14.21056,,,nan,3.25,clear
51,Kairos - LS23,1,52.0,10/24/22,19:33:08,True,True,17.26368,,,nan,3.28,clear
52,Kairos - LS23,1,53.0,10/24/22,19:36:20,True,True,18.49536,,,nan,3.31,clear
53,Kairos - LS23,1,54.0,10/24/22,19:39:22,False,True,0,,,nan,,clear
54,Kairos - LS23,1,55.0,10/24/22,19:42:34,True,True,7.46976,,,nan,3.37,clear
55,Kairos - LS23,1,56.0,10/24/22,19:45:37,False,True,0,,,nan,,clear
56,Kairos - LS23,1,57.0,10/24/22,19:48:46,False,True,0,,,nan,,clear
57,Kairos - LS23,1,58.0,10/25/22,16:35:28,True,True,30.7784,,,nan,1.77,clear
58,Kairos - LS23,1,59.0,10/25/22,16:38:31,True,True,34.67848,,,nan,1.79,clear
59,Kairos - LS23,1,60.0,10/25/22,16:41:46,True,True,59.81272,,,nan,1.82,clear
60,Kairos - LS23,1,61.0,10/25/22,16:44:54,discard,False,,,,nan,,KA-4
61,Kairos - LS23,1,62.0,10/25/22,16:48:06,discard,False,,,,nan,,KA-4
62,Kairos - LS23,1,63.0,10/25/22,16:51:13,True,True,8.5884,,,nan,1.88,clear
63,Kairos - LS23,1,64.0,10/25/22,16:54:29,True,True,4.9416,,,nan,1.9,clear
64,Kairos - LS23,1,65.0,10/25/22,16:57:35,True,True,8.61432,,,nan,1.92,clear
65,Kairos - LS23,1,66.0,10/25/22,17:00:52,False,True,0,,,nan,,clear
66,Kairos - LS23,1,67.0,10/25/22,17:04:00,True,True,17.28536,,,nan,1.94,clear
67,Kairos - LS23,1,68.0,10/25/22,17:07:16,True,True,15.5556,,,nan,1.94,clear
68,Kairos - LS23,1,69.0,10/25/22,17:10:31,discard,False,,,,nan,,KA-4
69,Kairos - LS23,1,70.0,10/25/22,17:13:51,discard,False,,,,nan,,KA-4
70,Kairos - LS23,1,71.0,10/25/22,17:16:59,discard,False,,,,nan,,KA-4
71,Kairos - LS23,1,72.0,10/25/22,17:20:12,True,True,27.12896,,,nan,1.95,clear
72,Kairos - LS23,1,73.0,10/25/22,17:23:22,True,True,20.87112,,,nan,1.95,clear
73,Kairos - LS23,1,74.0,10/25/22,17:26:36,True,True,110.77888,,,nan,1.95,clear
74,Kairos - LS23,1,75.0,10/25/22,17:29:47,True,True,94.7256,,,nan,1.94,clear
75,Kairos - LS23,1,76.0,10/25/22,17:32:56,True,True,144.0024,,,nan,1.94,clear
76,Kairos - LS23,1,77.0,10/25/22,17:36:04,discard,False,,,,nan,,KA-4
77,Kairos - LS23,1,78.0,10/25/22,17:39:20,discard,False,,,,nan,,KA-4
78,Kairos - LS23,1,79.0,10/25/22,17:42:26,discard,False,,,,nan,,KA-4
79,Kairos - LS23,1,80.0,10/25/22,17:45:43,discard,False,,,,nan,,KA-4
80,Kairos - LS23,1,81.0,10/25/22,17:48:48,discard,False,,,,nan,,KA-4
81,Kairos - LS23,1,82.0,10/25/22,17:52:10,discard,False,,,,nan,,KA-4
82,Kairos - LS23,1,83.0,10/25/22,17:55:18,discard,False,,,,nan,,KA-4
83,Kairos - LS23,1,84.0,10/25/22,17:58:33,discard,False,,,,nan,,KA-4
84,Kairos - LS23,1,85.0,10/25/22,18:01:38,discard,False,,,,nan,,KA-4
85,Kairos - LS23,1,86.0,10/25/22,18:04:54,discard,False,,,,nan,,KA-4
86,Kairos - LS23,1,87.0,10/25/22,18:08:04,discard,False,,,,nan,,KA-4
87,Kairos - LS23,1,88.0,10/25/22,18:11:22,discard,False,,,,nan,,KA-4
88,Kairos - LS23,1,89.0,10/25/22,18:14:25,discard,False,,,,nan,,KA-4
89,Kairos - LS23,1,90.0,10/25/22,18:17:40,True,True,48.80744,,,nan,1.82,clear
90,Kairos - LS23,1,91.0,10/25/22,18:20:42,discard,False,,,,nan,,KA-4
91,Kairos - LS23,1,92.0,10/25/22,18:23:58,False,True,0,,,nan,,clear
92,Kairos - LS23,1,93.0,10/25/22,18:27:08,False,True,0,,,nan,,clear
93,Kairos - LS23,1,94.0,10/25/22,18:30:19,False,True,0,,,nan,,clear
94,Kairos - LS23,1,95.0,10/25/22,18:33:32,True,True,25.74936,,,nan,1.76,clear
95,Kairos - LS23,1,96.0,10/25/22,18:36:53,discard,False,,,,nan,1.74,KA-3
96,Kairos - LS23,1,97.0,10/25/22,18:40:05,discard,False,,,,nan,,KA-4
97,Kairos - LS23,1,98.0,10/25/22,18:43:26,discard,False,,,,nan,,KA-4
98,Kairos - LS23,1,99.0,10/25/22,18:46:38,discard,False,,,,nan,,KA-4
99,Kairos - LS23,1,100.0,10/25/22,18:49:54,True,True,458.4,,,nan,1.68,clear
100,Kairos - LS23,1,101.0,10/25/22,18:53:04,discard,False,,,,nan,,KA-4
101,Kairos - LS23,1,102.0,10/25/22,18:56:22,False,True,0,,,nan,,clear
102,Kairos - LS23,1,103.0,10/25/22,18:59:31,True,True,27.93648,,,nan,1.62,clear
103,Kairos - LS23,1,104.0,10/25/22,19:02:47,True,True,12.03368,,,nan,1.6,clear
104,Kairos - LS23,1,105.0,10/25/22,19:05:57,True,True,12.354,,,nan,1.59,clear
105,Kairos - LS23,1,106.0,10/25/22,19:09:08,True,True,22.37976,,,nan,1.57,clear
