,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
0,Kairos - LS23,1,1.0,10/24/22,16:46:16,False,True,0,,,nan,,clear,True
1,Kairos - LS23,1,2.0,10/24/22,16:49:22,False,True,0,,,nan,,clear,True
2,Kairos - LS23,1,3.0,10/24/22,16:52:33,False,False,,,,nan,,KA-1,False
3,Kairos - LS23,1,4.0,10/24/22,16:55:42,True,True,17.57448,,,nan,4.25,clear,True
4,Kairos - LS23,1,5.0,10/24/22,16:59:02,True,True,30.7568,,,nan,4.2,clear,True
5,Kairos - LS23,1,6.0,10/24/22,17:02:04,True,True,119.00672,,,nan,4.15,clear,True
6,Kairos - LS23,1,7.0,10/24/22,17:05:21,True,True,253.1824,,,nan,4.09,clear,True
7,Kairos - LS23,1,8.0,10/24/22,17:08:22,True,True,128.58496,,,nan,4.04,clear,True
8,Kairos - LS23,1,9.0,10/24/22,17:11:38,False,True,0,,,nan,,clear,True
9,Kairos - LS23,1,10.0,10/24/22,17:14:38,False,True,0,,,nan,,clear,True
10,Kairos - LS23,1,11.0,10/24/22,17:17:54,False,True,0,,,nan,,clear,True
11,Kairos - LS23,1,12.0,10/24/22,17:20:59,True,True,11.50552,,,nan,3.8,clear,True
12,Kairos - LS23,1,13.0,10/24/22,17:24:13,True,True,18.436,,,nan,3.75,clear,True
13,Kairos - LS23,1,14.0,10/24/22,17:27:12,False,True,0,,,nan,,clear,True
14,Kairos - LS23,1,15.0,10/24/22,17:30:28,False,False,,,,nan,3.63,KA-2,False
15,Kairos - LS23,1,16.0,10/24/22,17:33:39,False,True,0,,,nan,,clear,True
16,Kairos - LS23,1,17.0,10/24/22,17:36:53,False,True,0,,,nan,,clear,True
17,Kairos - LS23,1,18.0,10/24/22,17:40:00,True,True,31.02192,,,nan,3.46,clear,True
18,Kairos - LS23,1,19.0,10/24/22,17:43:18,True,True,55.4736,,,nan,3.41,clear,True
19,Kairos - LS23,1,20.0,10/24/22,17:46:21,True,True,22.92096,,,nan,3.36,clear,True
20,Kairos - LS23,1,21.0,10/24/22,17:49:37,True,True,149.85984,,,nan,3.31,clear,True
21,Kairos - LS23,1,22.0,10/24/22,17:52:40,True,True,213.39264,,,nan,3.27,clear,True
22,Kairos - LS23,1,23.0,10/24/22,17:57:59,True,True,140.61312,,,nan,3.21,clear,True
23,Kairos - LS23,1,24.0,10/24/22,18:01:12,True,True,67.00464,,,nan,3.18,clear,True
24,Kairos - LS23,1,25.0,10/24/22,18:04:31,True,True,72.9816,,,nan,3.15,clear,True
25,Kairos - LS23,1,26.0,10/24/22,18:07:34,True,True,190.568,,,nan,3.13,clear,True
26,Kairos - LS23,1,27.0,10/24/22,18:10:51,False,True,0,,,nan,,clear,True
